Ref,Val,Package,PosX,PosY,Rot,Side
"C14","100nF","C_0402_1005Metric",142.225000,-106.700000,-90.000000,bottom
"C15","100nF","C_0402_1005Metric",142.225000,-108.995000,90.000000,bottom
"Q4","DMC2400UV-7","SOTFL50P162X60-6N",136.016000,-82.260000,180.000000,bottom
"R4","1M","R_0402_1005Metric",136.700000,-84.310000,-90.000000,bottom
"R5","1M","R_0402_1005Metric",134.660000,-80.685000,0.000000,bottom
"R6","1M5","R_0402_1005Metric",139.200000,-82.800000,180.000000,bottom
"U1","~","SS2118_O2",126.050000,-94.900000,-90.000000,bottom
"U2","~","SS2198_H2S",104.550000,-94.900000,90.000000,bottom
"U5","BME680","Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering",139.900000,-107.332500,180.000000,bottom
