Ref,Val,Package,PosX,PosY,Rot,Side
"C14","100nF","C_0402_1005Metric",155.640000,-133.965000,180.000000,bottom
"C15","100nF","C_0402_1005Metric",153.345000,-133.965000,0.000000,bottom
"Q4","DMC2400UV-7","SOTFL50P162X60-6N",153.300000,-106.730000,180.000000,bottom
"R4","1M","R_0402_1005Metric",152.660000,-108.520000,180.000000,bottom
"R5","1M","R_0402_1005Metric",151.944000,-105.155000,0.000000,bottom
"R6","1M5","R_0402_1005Metric",155.380000,-107.740000,90.000000,bottom
"U5","BME680","Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering",155.007500,-131.640000,90.000000,bottom
